batch,encoder,input,task,horizon,mae,mse,rmse,r2,accuracy,bce
batch_1,GRU,correlation,regression,day1,0.0093551285626143,0.0002339503962848638,0.015295437106695049,0.7487167568844979,,
batch_1,GRU,correlation,regression,day5,0.01186170449821839,0.00043537711240489006,0.020865692234021137,0.7005077833026514,,
batch_1,GRU,correlation,regression,day20,0.013362573315829117,0.0004676839610948342,0.02162600196741955,0.7085087144308324,,
batch_1,GRU,correlation,classification,day1,,,,,0.925000011920929,0.16424278914928436
batch_1,GRU,correlation,classification,day5,,,,,0.9100000262260437,0.18685418367385864
batch_1,GRU,correlation,classification,day20,,,,,0.8980000019073486,0.2205614596605301
batch_1,GRU,dynamiSE,regression,day1,0.009018571679167581,0.0002386303388763723,0.01544766451203457,0.7436900881091362,,
batch_1,GRU,dynamiSE,regression,day5,0.010542142996148104,0.0003189651484438672,0.01785959541657837,0.7805865842855462,,
batch_1,GRU,dynamiSE,regression,day20,0.01319254148663846,0.000431395534907012,0.020770063430500446,0.7311260391216512,,
batch_1,GRU,dynamiSE,classification,day1,,,,,0.9350000023841858,0.15270425379276276
batch_1,GRU,dynamiSE,classification,day5,,,,,0.9139999747276306,0.1791670322418213
batch_1,GRU,dynamiSE,classification,day20,,,,,0.903249979019165,0.20772448182106018
batch_1,TE,correlation,regression,day1,0.01458951142713048,0.0005107094642198443,0.022598881924109526,0.4514532460860555,,
batch_1,TE,correlation,regression,day5,0.016030396295562268,0.0006870151845733353,0.026210974506365368,0.5274080913530925,,
batch_1,TE,correlation,regression,day20,0.018252873214615457,0.000825255363543546,0.02872725819746023,0.48564678959905405,,
batch_1,TE,correlation,classification,day1,,,,,0.8149999976158142,0.43595653772354126
batch_1,TE,correlation,classification,day5,,,,,0.8019999861717224,0.43938562273979187
batch_1,TE,correlation,classification,day20,,,,,0.7820000052452087,0.4560648500919342
batch_1,TE,dynamiSE,regression,day1,0.013554020168699794,0.0005186066568360565,0.022772936939184116,0.4429709686305676,,
batch_1,TE,dynamiSE,regression,day5,0.015267612579388589,0.0006814730093570958,0.026105038007195006,0.5312205065985063,,
batch_1,TE,dynamiSE,regression,day20,0.017506503054312148,0.0008015122505845315,0.02831099169200068,0.5004450531607025,,
batch_1,TE,dynamiSE,classification,day1,,,,,0.8299999833106995,0.43266743421554565
batch_1,TE,dynamiSE,classification,day5,,,,,0.800000011920929,0.4578917920589447
batch_1,TE,dynamiSE,classification,day20,,,,,0.7875000238418579,0.4715951979160309
batch_2,GRU,correlation,regression,day1,0.012994752414909262,0.0005483548583658963,0.02341697799388077,0.8555766805892913,,
batch_2,GRU,correlation,regression,day5,0.013379621114761868,0.0005646621426461147,0.0237626207023997,0.6945696742261271,,
batch_2,GRU,correlation,regression,day20,0.017627550060583842,0.00103256661672834,0.03213357460240519,0.5241120594515829,,
batch_2,GRU,correlation,classification,day1,,,,,0.875,0.23735731840133667
batch_2,GRU,correlation,classification,day5,,,,,0.9070000052452087,0.19744984805583954
batch_2,GRU,correlation,classification,day20,,,,,0.8995000123977661,0.21132050454616547
batch_2,GRU,dynamiSE,regression,day1,0.013322286619970411,0.0010378652709359896,0.0322159164224144,0.7266515555705115,,
batch_2,GRU,dynamiSE,regression,day5,0.01302659399428925,0.0006285737015571538,0.025071372151462986,0.6599993944346791,,
batch_2,GRU,dynamiSE,regression,day20,0.016094367926011103,0.0009122256060090708,0.03020307279084482,0.5795746657637673,,
batch_2,GRU,dynamiSE,classification,day1,,,,,0.875,0.24297422170639038
batch_2,GRU,dynamiSE,classification,day5,,,,,0.9100000262260437,0.20898938179016113
batch_2,GRU,dynamiSE,classification,day20,,,,,0.8882499933242798,0.241963192820549
batch_2,TE,correlation,regression,day1,0.019068525916889695,0.0015771308689724473,0.039713107017362005,0.5846221260428568,,
batch_2,TE,correlation,regression,day5,0.018005358076353006,0.0010071224644069925,0.03173519283708534,0.455239302998933,,
batch_2,TE,correlation,regression,day20,0.020203953448816085,0.0012658487766683511,0.035578768622148114,0.4165972852355715,,
batch_2,TE,correlation,classification,day1,,,,,0.7950000166893005,0.4419214725494385
batch_2,TE,correlation,classification,day5,,,,,0.7919999957084656,0.4545816481113434
batch_2,TE,correlation,classification,day20,,,,,0.7887499928474426,0.45695096254348755
batch_2,TE,dynamiSE,regression,day1,0.01895057349456995,0.0015149012420996655,0.03892173225975002,0.6010118947146246,,
batch_2,TE,dynamiSE,regression,day5,0.018419174678892133,0.0010321287148483643,0.0321267601050645,0.44171321962649435,,
batch_2,TE,dynamiSE,regression,day20,0.020644837412219716,0.001349072787077252,0.03672972620476842,0.37824111307579333,,
batch_2,TE,dynamiSE,classification,day1,,,,,0.8199999928474426,0.41478660702705383
batch_2,TE,dynamiSE,classification,day5,,,,,0.7919999957084656,0.44524097442626953
batch_2,TE,dynamiSE,classification,day20,,,,,0.7922499775886536,0.45343393087387085
batch_3,GRU,correlation,regression,day1,0.013532326633461543,0.0005104832785564736,0.022593877014724,0.6813427526328781,,
batch_3,GRU,correlation,regression,day5,0.013314144142302852,0.00039334697610900096,0.01983297698554105,0.6994037818470342,,
batch_3,GRU,correlation,regression,day20,0.014253163358727282,0.0005405615243034871,0.023249979017269825,0.6829540881751742,,
batch_3,GRU,correlation,classification,day1,,,,,0.9200000166893005,0.1602625697851181
batch_3,GRU,correlation,classification,day5,,,,,0.9150000214576721,0.1798081248998642
batch_3,GRU,correlation,classification,day20,,,,,0.9142500162124634,0.19398745894432068
batch_3,GRU,dynamiSE,regression,day1,0.011846414767485264,0.00043568535972268133,0.020873077389850336,0.7280336040781303,,
batch_3,GRU,dynamiSE,regression,day5,0.011775324784913154,0.0003423270914254069,0.018502083434721803,0.7383932372591406,,
batch_3,GRU,dynamiSE,regression,day20,0.015027986783439038,0.0006067747986107101,0.024632799244314687,0.644119197078014,,
batch_3,GRU,dynamiSE,classification,day1,,,,,0.925000011920929,0.18307118117809296
batch_3,GRU,dynamiSE,classification,day5,,,,,0.9020000100135803,0.22667071223258972
batch_3,GRU,dynamiSE,classification,day20,,,,,0.8757500052452087,0.2609710991382599
batch_3,TE,correlation,regression,day1,0.017524871961896588,0.0008415729505194866,0.029009876775324066,0.47466776849283365,,
batch_3,TE,correlation,regression,day5,0.016633076670762414,0.0006543386622448503,0.025580044218977617,0.4999536307416095,,
batch_3,TE,correlation,regression,day20,0.018550219649895307,0.0008617289258777896,0.029355219738196298,0.4945854990275542,,
batch_3,TE,correlation,classification,day1,,,,,0.8100000023841858,0.4203307330608368
batch_3,TE,correlation,classification,day5,,,,,0.7850000262260437,0.4574849009513855
batch_3,TE,correlation,classification,day20,,,,,0.7877500057220459,0.4423162639141083
batch_3,TE,dynamiSE,regression,day1,0.01695039796235151,0.0008104279535666738,0.02846801632651411,0.4941093044160183,,
batch_3,TE,dynamiSE,regression,day5,0.01671130556340226,0.0007066406964045137,0.02658271424073384,0.4599843552037053,,
batch_3,TE,dynamiSE,regression,day20,0.019334088509557045,0.000977962561757324,0.031272392964999084,0.4264130571956559,,
batch_3,TE,dynamiSE,classification,day1,,,,,0.7799999713897705,0.42609336972236633
batch_3,TE,dynamiSE,classification,day5,,,,,0.7919999957084656,0.44963932037353516
batch_3,TE,dynamiSE,classification,day20,,,,,0.7902500033378601,0.4353008568286896
batch_4,GRU,correlation,regression,day1,0.010740109357970628,0.0005027097672941911,0.02242119014000352,0.6035118297327063,,
batch_4,GRU,correlation,regression,day5,0.012000055215859028,0.0005067265066781076,0.02251058654673635,0.6223659663213567,,
batch_4,GRU,correlation,regression,day20,0.012994529317788356,0.00044658749377334526,0.021132616822659357,0.692673477300878,,
batch_4,GRU,correlation,classification,day1,,,,,0.949999988079071,0.11863497644662857
batch_4,GRU,correlation,classification,day5,,,,,0.9110000133514404,0.17874516546726227
batch_4,GRU,correlation,classification,day20,,,,,0.9079999923706055,0.22248980402946472
batch_4,GRU,dynamiSE,regression,day1,0.012130373008515747,0.00048650852836224363,0.02205693832702634,0.6162897783585424,,
batch_4,GRU,dynamiSE,regression,day5,0.01237554313492805,0.00039427251522915777,0.019856296614151336,0.7061714389667948,,
batch_4,GRU,dynamiSE,regression,day20,0.01350744268452285,0.00041979652133760384,0.020488936559460665,0.7111101252437853,,
batch_4,GRU,dynamiSE,classification,day1,,,,,0.9350000023841858,0.15370912849903107
batch_4,GRU,dynamiSE,classification,day5,,,,,0.9129999876022339,0.20827165246009827
batch_4,GRU,dynamiSE,classification,day20,,,,,0.8927500247955322,0.23734880983829498
batch_4,TE,correlation,regression,day1,0.01631707129564166,0.0006087909485106914,0.02467368939803473,0.5198453959836492,,
batch_4,TE,correlation,regression,day5,0.01736359675618426,0.0007146051122785045,0.026732098912702396,0.4674460335493431,,
batch_4,TE,correlation,regression,day20,0.01811483793195669,0.0007082826367112445,0.026613579930389757,0.5125836642010683,,
batch_4,TE,correlation,classification,day1,,,,,0.8500000238418579,0.38369420170783997
batch_4,TE,correlation,classification,day5,,,,,0.7950000166893005,0.44916731119155884
batch_4,TE,correlation,classification,day20,,,,,0.7910000085830688,0.44460535049438477
batch_4,TE,dynamiSE,regression,day1,0.015836312120374358,0.0008054093681985568,0.028379735167872105,0.3647720663316567,,
batch_4,TE,dynamiSE,regression,day5,0.016321865982595912,0.0007508872162033236,0.02740232136522969,0.4404070745154105,,
batch_4,TE,dynamiSE,regression,day20,0.016981749401952812,0.0007096868296570409,0.026639948004022848,0.5116173457500431,,
batch_4,TE,dynamiSE,classification,day1,,,,,0.8650000095367432,0.3746141791343689
batch_4,TE,dynamiSE,classification,day5,,,,,0.8159999847412109,0.42265698313713074
batch_4,TE,dynamiSE,classification,day20,,,,,0.7960000038146973,0.4461492896080017
batch_5,GRU,correlation,regression,day1,0.009168868020003454,0.0001819125161965489,0.013487494808026763,0.8322867023010802,,
batch_5,GRU,correlation,regression,day5,0.00992340312415113,0.00026917793211682307,0.016406642926474115,0.7806569987644403,,
batch_5,GRU,correlation,regression,day20,0.012589324849083766,0.00048479330954029045,0.02201802238032041,0.6754438711346769,,
batch_5,GRU,correlation,classification,day1,,,,,0.9100000262260437,0.21107131242752075
batch_5,GRU,correlation,classification,day5,,,,,0.9129999876022339,0.18302315473556519
batch_5,GRU,correlation,classification,day20,,,,,0.909500002861023,0.2015085369348526
batch_5,GRU,dynamiSE,regression,day1,0.010253229636166062,0.0002229656649389864,0.014932034855939308,0.7944379654440772,,
batch_5,GRU,dynamiSE,regression,day5,0.011064209581659093,0.0002640010590737796,0.01624810939998188,0.7848754384461294,,
batch_5,GRU,dynamiSE,regression,day20,0.01348135778591995,0.0005256157127792553,0.02292631049207995,0.6481143661570168,,
batch_5,GRU,dynamiSE,classification,day1,,,,,0.9049999713897705,0.19511383771896362
batch_5,GRU,dynamiSE,classification,day5,,,,,0.9100000262260437,0.192228764295578
batch_5,GRU,dynamiSE,classification,day20,,,,,0.90625,0.22121378779411316
batch_5,TE,correlation,regression,day1,0.016550515581240405,0.0007085053968124036,0.026617764684743975,0.3467971362206671,,
batch_5,TE,correlation,regression,day5,0.015823256851917777,0.0006174221179748168,0.024847980158854296,0.4968858727726728,,
batch_5,TE,correlation,regression,day20,0.017277005344434736,0.0007313054941018635,0.02704266063281983,0.5104105697978543,,
batch_5,TE,correlation,classification,day1,,,,,0.75,0.5337283611297607
batch_5,TE,correlation,classification,day5,,,,,0.7609999775886536,0.49667468667030334
batch_5,TE,correlation,classification,day20,,,,,0.7705000042915344,0.48413151502609253
batch_5,TE,dynamiSE,regression,day1,0.016688370091740626,0.0007169027948419417,0.026775040519893555,0.33905519880442814,,
batch_5,TE,dynamiSE,regression,day5,0.016535848933104218,0.000631575220093693,0.025131160341171934,0.48535304067483065,,
batch_5,TE,dynamiSE,regression,day20,0.017800899875410472,0.0007467790423916821,0.02732725823041313,0.5000514438901218,,
batch_5,TE,dynamiSE,classification,day1,,,,,0.7200000286102295,0.5498352646827698
batch_5,TE,dynamiSE,classification,day5,,,,,0.7710000276565552,0.4768965542316437
batch_5,TE,dynamiSE,classification,day20,,,,,0.7852500081062317,0.4574348032474518
