batch,encoder,input,horizon,mae,mse,rmse,r2,accuracy,bce
batch_1,GRU,correlation,day1,0.0093551285626143,0.0002339503962848,0.015295437106695,0.7487167568844979,0.925000011920929,0.1642427891492843
batch_1,GRU,correlation,day20,0.0133625733158291,0.0004676839610948,0.0216260019674195,0.7085087144308324,0.8980000019073486,0.2205614596605301
batch_1,GRU,correlation,day5,0.0118617044982183,0.0004353771124048,0.0208656922340211,0.7005077833026514,0.9100000262260436,0.1868541836738586
batch_1,GRU,dynamiSE,day1,0.0090185716791675,0.0002386303388763,0.0154476645120345,0.7436900881091362,0.9350000023841858,0.1527042537927627
batch_1,GRU,dynamiSE,day20,0.0131925414866384,0.000431395534907,0.0207700634305004,0.7311260391216512,0.903249979019165,0.2077244818210601
batch_1,GRU,dynamiSE,day5,0.0105421429961481,0.0003189651484438,0.0178595954165783,0.7805865842855462,0.9139999747276306,0.1791670322418213
batch_1,TE,correlation,day1,0.0145895114271304,0.0005107094642198,0.0225988819241095,0.4514532460860555,0.8149999976158142,0.4359565377235412
batch_1,TE,correlation,day20,0.0182528732146154,0.0008252553635435,0.0287272581974602,0.485646789599054,0.7820000052452087,0.4560648500919342
batch_1,TE,correlation,day5,0.0160303962955622,0.0006870151845733,0.0262109745063653,0.5274080913530925,0.8019999861717224,0.4393856227397918
batch_1,TE,dynamiSE,day1,0.0135540201686997,0.000518606656836,0.0227729369391841,0.4429709686305676,0.8299999833106995,0.4326674342155456
batch_1,TE,dynamiSE,day20,0.0175065030543121,0.0008015122505845,0.0283109916920006,0.5004450531607025,0.7875000238418579,0.4715951979160309
batch_1,TE,dynamiSE,day5,0.0152676125793885,0.000681473009357,0.026105038007195,0.5312205065985063,0.800000011920929,0.4578917920589447
batch_2,GRU,correlation,day1,0.0129947524149092,0.0005483548583658,0.0234169779938807,0.8555766805892913,0.875,0.2373573184013366
batch_2,GRU,correlation,day20,0.0176275500605838,0.0010325666167283,0.0321335746024051,0.5241120594515829,0.8995000123977661,0.2113205045461654
batch_2,GRU,correlation,day5,0.0133796211147618,0.0005646621426461,0.0237626207023997,0.6945696742261271,0.9070000052452089,0.1974498480558395
batch_2,GRU,dynamiSE,day1,0.0133222866199704,0.0010378652709359,0.0322159164224144,0.7266515555705115,0.875,0.2429742217063903
batch_2,GRU,dynamiSE,day20,0.0160943679260111,0.000912225606009,0.0302030727908448,0.5795746657637673,0.8882499933242798,0.241963192820549
batch_2,GRU,dynamiSE,day5,0.0130265939942892,0.0006285737015571,0.0250713721514629,0.6599993944346791,0.9100000262260436,0.2089893817901611
batch_2,TE,correlation,day1,0.0190685259168896,0.0015771308689724,0.039713107017362,0.5846221260428568,0.7950000166893005,0.4419214725494385
batch_2,TE,correlation,day20,0.020203953448816,0.0012658487766683,0.0355787686221481,0.4165972852355715,0.7887499928474426,0.4569509625434875
batch_2,TE,correlation,day5,0.018005358076353,0.0010071224644069,0.0317351928370853,0.455239302998933,0.7919999957084656,0.4545816481113434
batch_2,TE,dynamiSE,day1,0.0189505734945699,0.0015149012420996,0.03892173225975,0.6010118947146246,0.8199999928474426,0.4147866070270538
batch_2,TE,dynamiSE,day20,0.0206448374122197,0.0013490727870772,0.0367297262047684,0.3782411130757933,0.7922499775886536,0.4534339308738708
batch_2,TE,dynamiSE,day5,0.0184191746788921,0.0010321287148483,0.0321267601050645,0.4417132196264943,0.7919999957084656,0.4452409744262695
batch_3,GRU,correlation,day1,0.0135323266334615,0.0005104832785564,0.022593877014724,0.6813427526328781,0.9200000166893004,0.1602625697851181
batch_3,GRU,correlation,day20,0.0142531633587272,0.0005405615243034,0.0232499790172698,0.6829540881751742,0.9142500162124634,0.1939874589443206
batch_3,GRU,correlation,day5,0.0133141441423028,0.000393346976109,0.019832976985541,0.6994037818470342,0.915000021457672,0.1798081248998642
batch_3,GRU,dynamiSE,day1,0.0118464147674852,0.0004356853597226,0.0208730773898503,0.7280336040781303,0.925000011920929,0.1830711811780929
batch_3,GRU,dynamiSE,day20,0.015027986783439,0.0006067747986107,0.0246327992443146,0.644119197078014,0.8757500052452087,0.2609710991382599
batch_3,GRU,dynamiSE,day5,0.0117753247849131,0.0003423270914254,0.0185020834347218,0.7383932372591406,0.9020000100135804,0.2266707122325897
batch_3,TE,correlation,day1,0.0175248719618965,0.0008415729505194,0.029009876775324,0.4746677684928336,0.8100000023841858,0.4203307330608368
batch_3,TE,correlation,day20,0.0185502196498953,0.0008617289258777,0.0293552197381962,0.4945854990275542,0.7877500057220459,0.4423162639141083
batch_3,TE,correlation,day5,0.0166330766707624,0.0006543386622448,0.0255800442189776,0.4999536307416095,0.7850000262260437,0.4574849009513855
batch_3,TE,dynamiSE,day1,0.0169503979623515,0.0008104279535666,0.0284680163265141,0.4941093044160183,0.7799999713897705,0.4260933697223663
batch_3,TE,dynamiSE,day20,0.019334088509557,0.0009779625617573,0.031272392964999,0.4264130571956559,0.7902500033378601,0.4353008568286896
batch_3,TE,dynamiSE,day5,0.0167113055634022,0.0007066406964045,0.0265827142407338,0.4599843552037053,0.7919999957084656,0.4496393203735351
batch_4,GRU,correlation,day1,0.0107401093579706,0.0005027097672941,0.0224211901400035,0.6035118297327063,0.949999988079071,0.1186349764466285
batch_4,GRU,correlation,day20,0.0129945293177883,0.0004465874937733,0.0211326168226593,0.692673477300878,0.9079999923706056,0.2224898040294647
batch_4,GRU,correlation,day5,0.012000055215859,0.0005067265066781,0.0225105865467363,0.6223659663213567,0.9110000133514404,0.1787451654672622
batch_4,GRU,dynamiSE,day1,0.0121303730085157,0.0004865085283622,0.0220569383270263,0.6162897783585424,0.9350000023841858,0.153709128499031
batch_4,GRU,dynamiSE,day20,0.0135074426845228,0.0004197965213376,0.0204889365594606,0.7111101252437853,0.8927500247955322,0.2373488098382949
batch_4,GRU,dynamiSE,day5,0.012375543134928,0.0003942725152291,0.0198562966141513,0.7061714389667948,0.912999987602234,0.2082716524600982
batch_4,TE,correlation,day1,0.0163170712956416,0.0006087909485106,0.0246736893980347,0.5198453959836492,0.8500000238418579,0.3836942017078399
batch_4,TE,correlation,day20,0.0181148379319566,0.0007082826367112,0.0266135799303897,0.5125836642010683,0.7910000085830688,0.4446053504943847
batch_4,TE,correlation,day5,0.0173635967561842,0.0007146051122785,0.0267320989127023,0.4674460335493431,0.7950000166893005,0.4491673111915588
batch_4,TE,dynamiSE,day1,0.0158363121203743,0.0008054093681985,0.0283797351678721,0.3647720663316567,0.8650000095367432,0.3746141791343689
batch_4,TE,dynamiSE,day20,0.0169817494019528,0.000709686829657,0.0266399480040228,0.5116173457500431,0.7960000038146973,0.4461492896080017
batch_4,TE,dynamiSE,day5,0.0163218659825959,0.0007508872162033,0.0274023213652296,0.4404070745154105,0.8159999847412109,0.4226569831371307
batch_5,GRU,correlation,day1,0.0091688680200034,0.0001819125161965,0.0134874948080267,0.8322867023010802,0.9100000262260436,0.2110713124275207
batch_5,GRU,correlation,day20,0.0125893248490837,0.0004847933095402,0.0220180223803204,0.6754438711346769,0.909500002861023,0.2015085369348526
batch_5,GRU,correlation,day5,0.0099234031241511,0.0002691779321168,0.0164066429264741,0.7806569987644403,0.912999987602234,0.1830231547355651
batch_5,GRU,dynamiSE,day1,0.010253229636166,0.0002229656649389,0.0149320348559393,0.7944379654440772,0.9049999713897704,0.1951138377189636
batch_5,GRU,dynamiSE,day20,0.0134813577859199,0.0005256157127792,0.0229263104920799,0.6481143661570168,0.90625,0.2212137877941131
batch_5,GRU,dynamiSE,day5,0.011064209581659,0.0002640010590737,0.0162481093999818,0.7848754384461294,0.9100000262260436,0.192228764295578
batch_5,TE,correlation,day1,0.0165505155812404,0.0007085053968124,0.0266177646847439,0.3467971362206671,0.75,0.5337283611297607
batch_5,TE,correlation,day20,0.0172770053444347,0.0007313054941018,0.0270426606328198,0.5104105697978543,0.7705000042915344,0.4841315150260925
batch_5,TE,correlation,day5,0.0158232568519177,0.0006174221179748,0.0248479801588542,0.4968858727726728,0.7609999775886536,0.4966746866703033
batch_5,TE,dynamiSE,day1,0.0166883700917406,0.0007169027948419,0.0267750405198935,0.3390551988044281,0.7200000286102295,0.5498352646827698
batch_5,TE,dynamiSE,day20,0.0178008998754104,0.0007467790423916,0.0273272582304131,0.5000514438901218,0.7852500081062317,0.4574348032474518
batch_5,TE,dynamiSE,day5,0.0165358489331042,0.0006315752200936,0.0251311603411719,0.4853530406748306,0.7710000276565552,0.4768965542316437
