,AIMD,AMPG,AZ,BAFN,BGLC,BHST,CGEM,DGHI,DPRO,ELBM,GIFT,HITI,KAVL,KWE,NCRA,ODYS,REAX,SILO,YYAI
AIMD,1.0,0.34624264365380825,0.7572461268003433,0.5710465328072425,-0.3799623960919208,0.2699012761810699,0.04319077924092415,0.8249658477913018,0.46021996226292367,0.7290703573505082,0.37441425150173896,0.7250510534370171,0.7994536175889186,0.4913909127284001,-0.04371355391899463,0.15041026704902655,0.8060162377729478,-0.06373324371326784,0.8215005163925821
AMPG,0.34624264365380825,1.0,0.44285877952631736,0.652537866796279,-0.4222256329728344,0.2650041881111348,0.06330351500907856,0.1709782029541015,0.6732590644652225,0.1121187498911689,0.4779648017834627,0.511196481091629,0.5343217650184704,0.2094814601890973,-0.3371529726331786,0.2180198495166786,0.4751541529198168,-0.10111974689780365,0.4083939858549536
AZ,0.7572461268003433,0.44285877952631736,1.0,0.6888121035534929,-0.4597279203683978,0.2878310884831398,-0.08751636808195273,0.7016082253136857,0.42543464116047963,0.7017055150336204,0.5928338511761921,0.7646127860105427,0.7503231476452956,0.6300758023902093,-0.15615406847433058,0.3405773961332214,0.8617779946815197,-0.2169143206600645,0.8695693122161201
BAFN,0.5710465328072425,0.652537866796279,0.6888121035534929,1.0,-0.60316969962856,0.3412525043900017,0.037117331023549416,0.41938658471327156,0.5578939558112729,0.3734795445580145,0.7274442645215868,0.6074508918981861,0.6200307503482241,0.41333074067444386,-0.34250794639749876,0.32315327460522775,0.7835510148674487,-0.2988310058358784,0.5937969510401047
BGLC,-0.3799623960919208,-0.4222256329728344,-0.4597279203683978,-0.60316969962856,1.0,-0.32106824623676783,0.019990043501928578,-0.291900121122821,-0.41624215861726066,-0.34452340109477664,-0.49841739098088417,-0.4334379571492006,-0.5001571047981624,-0.3122922241258738,0.062447816452970796,-0.32733579855948436,-0.5228242694611904,0.20808270502619847,-0.40560662614022897
BHST,0.2699012761810699,0.2650041881111348,0.2878310884831398,0.3412525043900017,-0.32106824623676783,1.0,0.2801641552515558,0.14777394790891693,0.35269575356626404,0.18629237905097545,0.38729547328134006,0.4194628155581153,0.2989870711317775,0.2911186216743763,-0.1528235149767227,0.20783396287606606,0.3068437234737651,-0.10207379606223568,0.24598370764051553
CGEM,0.04319077924092415,0.06330351500907856,-0.08751636808195273,0.037117331023549416,0.019990043501928578,0.2801641552515558,1.0,0.0589603048984547,0.43873552572486496,-0.02609361523915189,0.08191714358926697,0.13221810696984942,0.1012328920954646,-0.16449995338755247,-0.18260719446825618,-0.2636014014003611,0.03440477814559615,0.05301045000212592,0.014456508779023181
DGHI,0.8249658477913018,0.1709782029541015,0.7016082253136857,0.41938658471327156,-0.291900121122821,0.14777394790891693,0.0589603048984547,1.0,0.3571011020629998,0.8205934764981139,0.1882455046465678,0.7308895972221953,0.8478836101415903,0.45777620245706874,-0.011139671553700145,0.05765612365320901,0.7017995864648114,0.00028040596407015727,0.855390162352192
DPRO,0.46021996226292367,0.6732590644652225,0.42543464116047963,0.5578939558112729,-0.41624215861726066,0.35269575356626404,0.43873552572486496,0.3571011020629998,1.0,0.26530863498540036,0.47259451752743037,0.6325649599422619,0.6349216906741144,0.28699542077806434,-0.27321240031893895,-0.001858945319720373,0.5689629251886449,-0.006790777689070654,0.4635822534886926
ELBM,0.7290703573505082,0.1121187498911689,0.7017055150336204,0.3734795445580145,-0.34452340109477664,0.18629237905097545,-0.02609361523915189,0.8205934764981139,0.26530863498540036,1.0,0.247599941198377,0.6196548225525097,0.7792714503612952,0.6076914359200499,-0.04552399393130651,0.07831091854303589,0.5892649291976928,0.0001299498155835646,0.8184484924326512
GIFT,0.37441425150173896,0.4779648017834627,0.5928338511761921,0.7274442645215868,-0.49841739098088417,0.38729547328134006,0.08191714358926697,0.1882455046465678,0.47259451752743037,0.247599941198377,1.0,0.5027359716319528,0.3944842707718561,0.399658109547501,-0.3295949906212895,0.36150689422694293,0.6060474127452851,-0.3413011651187937,0.4130766266800875
HITI,0.7250510534370171,0.511196481091629,0.7646127860105427,0.6074508918981861,-0.4334379571492006,0.4194628155581153,0.13221810696984942,0.7308895972221953,0.6325649599422619,0.6196548225525097,0.5027359716319528,1.0,0.8521265798297808,0.5098923056498788,-0.2518466568626991,0.21801395630904863,0.7510040197705139,-0.16323059807082987,0.8340406675383394
KAVL,0.7994536175889186,0.5343217650184704,0.7503231476452956,0.6200307503482241,-0.5001571047981624,0.2989870711317775,0.1012328920954646,0.8478836101415903,0.6349216906741144,0.7792714503612952,0.3944842707718561,0.8521265798297808,1.0,0.5118219939735345,-0.1525489048368193,0.14625580242650474,0.7538320742703334,-0.027571632842741056,0.885000347941822
KWE,0.4913909127284001,0.2094814601890973,0.6300758023902093,0.41333074067444386,-0.3122922241258738,0.2911186216743763,-0.16449995338755247,0.45777620245706874,0.28699542077806434,0.6076914359200499,0.399658109547501,0.5098923056498788,0.5118219939735345,1.0,-0.11738642592659934,0.23878608596715867,0.4842768977000206,-0.0719891313400158,0.6023180838260973
NCRA,-0.04371355391899463,-0.3371529726331786,-0.15615406847433058,-0.34250794639749876,0.062447816452970796,-0.1528235149767227,-0.18260719446825618,-0.011139671553700145,-0.27321240031893895,-0.04552399393130651,-0.3295949906212895,-0.2518466568626991,-0.1525489048368193,-0.11738642592659934,1.0,-0.011927570496328413,-0.1779146793301095,0.1453821938823719,-0.15622003386253036
ODYS,0.15041026704902655,0.2180198495166786,0.3405773961332214,0.32315327460522775,-0.32733579855948436,0.20783396287606606,-0.2636014014003611,0.05765612365320901,-0.001858945319720373,0.07831091854303589,0.36150689422694293,0.21801395630904863,0.14625580242650474,0.23878608596715867,-0.011927570496328413,1.0,0.2908387719141511,-0.03500970355279155,0.25231160999939445
REAX,0.8060162377729478,0.4751541529198168,0.8617779946815197,0.7835510148674487,-0.5228242694611904,0.3068437234737651,0.03440477814559615,0.7017995864648114,0.5689629251886449,0.5892649291976928,0.6060474127452851,0.7510040197705139,0.7538320742703334,0.4842768977000206,-0.1779146793301095,0.2908387719141511,1.0,-0.2210215291545338,0.8203670492077221
SILO,-0.06373324371326784,-0.10111974689780365,-0.2169143206600645,-0.2988310058358784,0.20808270502619847,-0.10207379606223568,0.05301045000212592,0.00028040596407015727,-0.006790777689070654,0.0001299498155835646,-0.3413011651187937,-0.16323059807082987,-0.027571632842741056,-0.0719891313400158,0.1453821938823719,-0.03500970355279155,-0.2210215291545338,1.0,-0.14470673930654945
YYAI,0.8215005163925821,0.4083939858549536,0.8695693122161201,0.5937969510401047,-0.40560662614022897,0.24598370764051553,0.014456508779023181,0.855390162352192,0.4635822534886926,0.8184484924326512,0.4130766266800875,0.8340406675383394,0.885000347941822,0.6023180838260973,-0.15622003386253036,0.25231160999939445,0.8203670492077221,-0.14470673930654945,1.0
